Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│           120/1000 │               0.28 │                 32 │               2.75 │       000: -0.0584 │
│           121/1000 │               0.28 │                 86 │               2.79 │        000: 1.5477 │
│           122/1000 │               0.28 │                 21 │               2.82 │       000: -0.4013 │
│           123/1000 │               0.28 │                 98 │               2.79 │        000: 1.8981 │
│           124/1000 │               0.27 │                 59 │               2.69 │       000: -0.3900 │
│           125/1000 │               0.28 │                147 │               2.78 │        000: 3.3761 │
│           126/1000 │               0.28 │                 80 │               2.77 │       000: -1.2630 │
│           127/1000 │               0.27 │                 65 │               2.75 │       000: -0.2943 │
│           128/1000 │               0.28 │                 82 │               2.78 │        000: 1.4196 │
│           129/1000 │               0.27 │                 75 │               2.71 │        000: 0.9258 │
│           130/1000 │               0.28 │                146 │               2.78 │        000: 2.8820 │
│           131/1000 │               0.27 │                 40 │               2.74 │       000: -0.3118 │
│           132/1000 │               0.28 │                109 │               2.77 │        000: 2.2295 │
│           133/1000 │               0.29 │                 37 │               2.85 │       000: -3.4343 │
│           134/1000 │               0.28 │                 54 │               2.84 │        000: 0.1249 │
│           135/1000 │               0.27 │                 92 │               2.75 │        000: 1.7114 │
│           136/1000 │               0.28 │                125 │               2.77 │        000: 2.0481 │
│           137/1000 │               0.29 │                 38 │               2.88 │       000: -0.6348 │
│           138/1000 │               0.27 │                172 │               2.73 │        000: 3.8410 │
│           139/1000 │               0.28 │                 79 │               2.83 │        000: 0.5261 │
│           140/1000 │               0.27 │                 88 │               2.73 │        000: 1.6060 │
│           141/1000 │               0.29 │                 31 │               2.94 │       000: -0.1125 │
│           142/1000 │               0.27 │                138 │               2.71 │        000: 2.8908 │
│           143/1000 │               0.29 │                 34 │               2.89 │       000: -1.9740 │
│           144/1000 │               0.28 │                161 │               2.75 │        000: 3.7178 │
│           145/1000 │               0.27 │                 52 │               2.74 │        000: 0.4950 │
│           146/1000 │               0.28 │                 94 │               2.79 │        000: 1.4591 │
│           147/1000 │               0.28 │                117 │               2.76 │        000: 2.4960 │
│           148/1000 │               0.27 │                 12 │               2.66 │       000: -0.6755 │
│           149/1000 │               0.29 │                 60 │               2.90 │       000: -1.9192 │
│           150/1000 │               0.27 │                 74 │               2.69 │        000: 0.9805 │
│           151/1000 │               0.29 │                 56 │               2.89 │        000: 0.5286 │
│           152/1000 │               0.26 │                 18 │               2.56 │       000: -0.9054 │
│           153/1000 │               0.28 │                 90 │               2.76 │        000: 1.7167 │
│           154/1000 │               0.28 │                187 │               2.77 │        000: 4.2168 │
│           155/1000 │               0.27 │                134 │               2.71 │        000: 2.9920 │
│           156/1000 │               0.28 │                 65 │               2.77 │        000: 0.9015 │
│           157/1000 │               0.29 │                 13 │               2.90 │       000: -0.7718 │
