Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│           751/1000 │               0.27 │                139 │               2.72 │        000: 2.3397 │
│           752/1000 │               0.27 │                130 │               2.71 │        000: 2.8680 │
│           753/1000 │               0.25 │                 47 │               2.55 │        000: 0.3497 │
│           754/1000 │               0.27 │                160 │               2.69 │        000: 3.3526 │
│           755/1000 │               0.27 │                 23 │               2.68 │       000: -1.2401 │
│           756/1000 │               0.27 │                140 │               2.67 │        000: 2.2354 │
│           757/1000 │               0.27 │                216 │               2.71 │        000: 5.4215 │
│           758/1000 │               0.27 │                 73 │               2.66 │        000: 1.1621 │
│           759/1000 │               0.28 │                 32 │               2.80 │       000: -2.5525 │
│           760/1000 │               0.27 │                241 │               2.70 │        000: 6.0778 │
│           761/1000 │               0.26 │                 41 │               2.64 │       000: -0.4366 │
│           762/1000 │               0.27 │                215 │               2.70 │        000: 4.2001 │
│           763/1000 │               0.27 │                161 │               2.70 │        000: 2.5657 │
│           764/1000 │               0.27 │                 56 │               2.66 │       000: -9.0593 │
│           765/1000 │               0.26 │                 70 │               2.65 │        000: 1.2139 │
│           766/1000 │               0.27 │                 83 │               2.75 │        000: 0.4195 │
│           767/1000 │               0.27 │                219 │               2.69 │        000: 5.3883 │
│           768/1000 │               0.27 │                 31 │               2.69 │       000: -0.5832 │
│           769/1000 │               0.23 │                 22 │               2.33 │       000: -1.1496 │
│           770/1000 │               0.27 │                 61 │               2.66 │        000: 0.0310 │
│           771/1000 │               0.27 │                 74 │               2.68 │        000: 0.9755 │
│           772/1000 │               0.26 │                 84 │               2.63 │        000: 1.5444 │
│           773/1000 │               0.27 │                109 │               2.67 │        000: 2.2454 │
│           774/1000 │               0.26 │                 54 │               2.63 │        000: 0.5940 │
│           775/1000 │               0.27 │                335 │               2.72 │        000: 8.8481 │
│           776/1000 │               0.25 │                 31 │               2.49 │       000: -1.1979 │
│           777/1000 │               0.27 │                356 │               2.70 │        000: 9.5479 │
│           778/1000 │               0.27 │               1527 │               2.70 │       000: 46.8191 │
│           779/1000 │               0.26 │                131 │               2.64 │        000: 3.0215 │
│           780/1000 │               0.27 │                 79 │               2.71 │        000: 1.3181 │
│           781/1000 │               0.27 │                393 │               2.72 │       000: 10.2238 │
│           782/1000 │               0.27 │                129 │               2.66 │        000: 2.5112 │
│           783/1000 │               0.27 │                105 │               2.68 │        000: 1.9119 │
│           784/1000 │               0.26 │                 45 │               2.62 │        000: 0.2989 │
│           785/1000 │               0.27 │                187 │               2.69 │        000: 4.5886 │
│           786/1000 │               0.27 │                108 │               2.72 │        000: 2.2099 │
│           787/1000 │               0.25 │                 43 │               2.51 │       000: -0.1603 │
│           788/1000 │               0.27 │                116 │               2.66 │        000: 2.4721 │
│           789/1000 │               0.27 │                112 │               2.73 │        000: 2.0960 │
│           790/1000 │               0.27 │                155 │               2.67 │        000: 3.3477 │
│           791/1000 │               0.26 │                 52 │               2.61 │       000: -7.6845 │
│           792/1000 │               0.27 │                131 │               2.72 │        000: 2.9130 │
│           793/1000 │               0.26 │                 32 │               2.55 │       000: -1.3058 │
│           794/1000 │               0.26 │                 49 │               2.57 │        000: 0.4427 │
│           795/1000 │               0.27 │                 89 │               2.66 │        000: 1.6356 │
│           796/1000 │               0.27 │                 74 │               2.71 │       000: -2.7940 │
│           797/1000 │               0.26 │                 36 │               2.59 │       000: -3.1579 │
│           798/1000 │               0.27 │                 41 │               2.65 │       000: -3.2207 │
│           799/1000 │               0.26 │                 22 │               2.57 │       000: -0.5784 │
│           800/1000 │               0.27 │                 93 │               2.67 │        000: 1.7802 │
│           801/1000 │               0.26 │                 68 │               2.61 │        000: 1.0286 │
│           802/1000 │               0.27 │                186 │               2.71 │        000: 3.3371 │
│           803/1000 │               0.22 │                 12 │               2.22 │       000: -0.7661 │
│           804/1000 │               0.27 │                 53 │               2.65 │       000: -0.5464 │
│           805/1000 │               0.26 │                 57 │               2.61 │        000: 0.2862 │
│           806/1000 │               0.24 │                 24 │               2.44 │       000: -0.3111 │
│           807/1000 │               0.26 │                 57 │               2.64 │        000: 0.4626 │
│           808/1000 │               0.27 │                109 │               2.67 │        000: 1.8982 │
│           809/1000 │               0.27 │                 63 │               2.70 │        000: 0.8555 │
│           810/1000 │               0.27 │                 65 │               2.66 │        000: 0.2192 │
│           811/1000 │               0.27 │                 70 │               2.66 │        000: 0.7173 │
│           812/1000 │               0.26 │                 75 │               2.61 │       000: -0.7971 │
│           813/1000 │               0.27 │                189 │               2.70 │        000: 3.8289 │
│           814/1000 │               0.27 │                193 │               2.71 │        000: 4.7654 │
│           815/1000 │               0.27 │                 57 │               2.65 │        000: 0.4059 │
│           816/1000 │               0.27 │                 46 │               2.69 │       000: -4.6388 │
│           817/1000 │               0.27 │                123 │               2.65 │        000: 2.3257 │
│           818/1000 │               0.27 │                 23 │               2.65 │       000: -1.2336 │
│           819/1000 │               0.27 │                 78 │               2.67 │        000: 1.3178 │
│           820/1000 │               0.24 │                 38 │               2.44 │       000: -0.0981 │
│           821/1000 │               0.27 │                 74 │               2.70 │       000: -0.6443 │
│           822/1000 │               0.26 │                 57 │               2.65 │        000: 0.1811 │
│           823/1000 │               0.27 │                126 │               2.70 │        000: 2.6720 │
│           824/1000 │               0.27 │                 54 │               2.67 │        000: 0.4432 │
│           825/1000 │               0.27 │                192 │               2.70 │        000: 3.2845 │
│           826/1000 │               0.27 │                 89 │               2.69 │        000: 1.1466 │
│           827/1000 │               0.27 │                154 │               2.74 │       000: -7.1486 │
│           828/1000 │               0.27 │                213 │               2.69 │        000: 5.6847 │
│           829/1000 │               0.27 │                209 │               2.71 │        000: 5.3736 │
│           830/1000 │               0.27 │                596 │               2.72 │       000: 17.1037 │
│           831/1000 │               0.26 │                 65 │               2.63 │        000: 0.9521 │
│           832/1000 │               0.27 │                108 │               2.66 │        000: 2.3089 │
│           833/1000 │               0.27 │                134 │               2.71 │        000: 2.1145 │
│           834/1000 │               0.27 │                410 │               2.72 │       000: 11.3424 │
│           835/1000 │               0.27 │                154 │               2.66 │        000: 3.6083 │
│           836/1000 │               0.27 │                 20 │               2.69 │       000: -0.4334 │
│           837/1000 │               0.26 │                 49 │               2.63 │       000: -0.0685 │
│           838/1000 │               0.26 │                 81 │               2.65 │        000: 1.4206 │
│           839/1000 │               0.27 │                202 │               2.67 │        000: 5.3251 │
│           840/1000 │               0.27 │                 12 │               2.65 │       000: -0.7665 │
│           841/1000 │               0.26 │                 75 │               2.62 │        000: 1.1257 │
│           842/1000 │               0.27 │                 70 │               2.68 │        000: 1.0545 │
│           843/1000 │               0.27 │                261 │               2.71 │        000: 7.0753 │
│           844/1000 │               0.27 │                857 │               2.71 │       000: 24.5008 │
│           845/1000 │               0.27 │                104 │               2.67 │        000: 1.0335 │
│           846/1000 │               0.27 │                 97 │               2.68 │        000: 1.8688 │
│           847/1000 │               0.27 │                 90 │               2.67 │        000: 1.6680 │
│           848/1000 │               0.23 │                 19 │               2.29 │       000: -0.4729 │
│           849/1000 │               0.27 │                 28 │               2.73 │       000: -0.6796 │
│           850/1000 │               0.25 │                 43 │               2.54 │        000: 0.0500 │
│           851/1000 │               0.26 │                 42 │               2.63 │        000: 0.2173 │
│           852/1000 │               0.26 │                 95 │               2.63 │        000: 1.6303 │
│           853/1000 │               0.27 │                 38 │               2.66 │       000: -3.6141 │
│           854/1000 │               0.26 │                 49 │               2.62 │        000: 0.3051 │
│           855/1000 │               0.27 │                 27 │               2.69 │       000: -1.6493 │
│           856/1000 │               0.25 │                 62 │               2.54 │        000: 0.5211 │
│           857/1000 │               0.27 │                 51 │               2.69 │        000: 0.3960 │
│           858/1000 │               0.25 │                 26 │               2.54 │       000: -0.2672 │
│           859/1000 │               0.27 │                 61 │               2.66 │        000: 0.2701 │
│           860/1000 │               0.26 │                 41 │               2.59 │        000: 0.1972 │
│           861/1000 │               0.27 │                232 │               2.72 │       000: -6.6947 │
│           862/1000 │               0.26 │                 88 │               2.65 │        000: 1.6237 │
│           863/1000 │               0.27 │                 87 │               2.71 │        000: 1.4648 │
│           864/1000 │               0.26 │                 84 │               2.62 │        000: 1.1750 │
│           865/1000 │               0.25 │                 47 │               2.51 │        000: 0.3660 │
│           866/1000 │               0.27 │                 66 │               2.69 │       000: -0.1347 │
│           867/1000 │               0.24 │                 17 │               2.39 │       000: -0.5252 │
│           868/1000 │               0.26 │                 81 │               2.64 │        000: 1.4030 │
│           869/1000 │               0.26 │                 27 │               2.65 │       000: -1.0466 │
│           870/1000 │               0.25 │                 25 │               2.52 │       000: -1.4299 │
│           871/1000 │               0.26 │                 81 │               2.64 │        000: 1.3994 │
│           872/1000 │               0.26 │                 45 │               2.57 │        000: 0.3028 │
│           873/1000 │               0.26 │                 75 │               2.62 │        000: 0.4856 │
│           874/1000 │               0.27 │                 31 │               2.68 │       000: -1.1979 │
│           875/1000 │               0.26 │                110 │               2.64 │        000: 1.8751 │
│           876/1000 │               0.27 │                 59 │               2.66 │       000: -0.0884 │
│           877/1000 │               0.27 │                145 │               2.70 │        000: 3.2235 │
│           878/1000 │               0.26 │                 49 │               2.59 │        000: 0.4508 │
│           879/1000 │               0.26 │                100 │               2.65 │        000: 1.9991 │
│           880/1000 │               0.27 │                141 │               2.69 │        000: 3.1751 │
│           881/1000 │               0.26 │                 60 │               2.60 │        000: 0.7434 │
│           882/1000 │               0.27 │                 99 │               2.70 │        000: 1.9611 │
│           883/1000 │               0.27 │                163 │               2.67 │        000: 3.7722 │
│           884/1000 │               0.26 │                 41 │               2.64 │       000: -4.3918 │
│           885/1000 │               0.27 │                195 │               2.73 │        000: 4.8354 │
│           886/1000 │               0.26 │                 48 │               2.55 │        000: 0.4176 │
│           887/1000 │               0.27 │                124 │               2.68 │        000: 1.6806 │
│           888/1000 │               0.26 │                 49 │               2.63 │       000: -0.1246 │
│           889/1000 │               0.26 │                 42 │               2.64 │        000: 0.0886 │
│           890/1000 │               0.27 │                129 │               2.69 │        000: 2.2241 │
│           891/1000 │               0.27 │                116 │               2.66 │        000: 2.0590 │
│           892/1000 │               0.27 │                601 │               2.73 │       000: 17.5242 │
│           893/1000 │               0.27 │                445 │               2.73 │       000: 12.1881 │
│           894/1000 │               0.26 │                 37 │               2.60 │       000: -1.0655 │
│           895/1000 │               0.26 │                 38 │               2.63 │       000: -3.6812 │
│           896/1000 │               0.27 │                220 │               2.70 │        000: 4.8469 │
│           897/1000 │               0.27 │                 32 │               2.75 │       000: -2.5105 │
│           898/1000 │               0.27 │                170 │               2.68 │        000: 4.0395 │
│           899/1000 │               0.27 │                 83 │               2.70 │        000: 1.4823 │
│           900/1000 │               0.26 │                 37 │               2.56 │       000: -0.8603 │
│           901/1000 │               0.26 │                 40 │               2.57 │       000: -0.6642 │
│           902/1000 │               0.27 │                103 │               2.72 │        000: 0.4606 │
│           903/1000 │               0.26 │                 60 │               2.57 │       000: -0.1163 │
│           904/1000 │               0.27 │                 78 │               2.67 │        000: 1.3004 │
│           905/1000 │               0.25 │                 40 │               2.52 │        000: 0.1505 │
│           906/1000 │               0.27 │                166 │               2.71 │        000: 3.9459 │
│           907/1000 │               0.26 │                 67 │               2.60 │        000: 0.9875 │
│           908/1000 │               0.27 │                 38 │               2.67 │       000: -3.5922 │
│           909/1000 │               0.27 │                 81 │               2.66 │        000: 1.3032 │
│           910/1000 │               0.27 │                 58 │               2.66 │        000: 0.3905 │
│           911/1000 │               0.27 │                105 │               2.68 │        000: 2.0760 │
│           912/1000 │               0.25 │                 48 │               2.55 │        000: 0.3966 │
│           913/1000 │               0.26 │                 84 │               2.64 │        000: 1.4828 │
│           914/1000 │               0.27 │                206 │               2.73 │        000: 3.6114 │
│           915/1000 │               0.26 │                 84 │               2.65 │        000: 1.3710 │
│           916/1000 │               0.27 │                304 │               2.71 │     000: -109.6809 │
│           917/1000 │               0.27 │                106 │               2.70 │        000: 1.7048 │
│           918/1000 │               0.26 │                 30 │               2.59 │       000: -2.0837 │
│           919/1000 │               0.26 │                 80 │               2.64 │        000: 1.4062 │
│           920/1000 │               0.26 │                 30 │               2.62 │       000: -2.0840 │
│           921/1000 │               0.23 │                 24 │               2.35 │       000: -0.3187 │
│           922/1000 │               0.26 │                 56 │               2.58 │        000: 0.6367 │
│           923/1000 │               0.27 │                 92 │               2.71 │        000: 1.7820 │
│           924/1000 │               0.26 │                 57 │               2.62 │        000: 0.6802 │
│           925/1000 │               0.26 │                 84 │               2.64 │        000: 1.4912 │
│           926/1000 │               0.27 │                 98 │               2.69 │        000: 1.0013 │
│           927/1000 │               0.26 │                 55 │               2.57 │       000: -0.3869 │
│           928/1000 │               0.27 │                189 │               2.70 │        000: 3.7444 │
│           929/1000 │               0.26 │                 70 │               2.64 │        000: 0.2211 │
│           930/1000 │               0.25 │                 21 │               2.46 │       000: -1.0717 │
│           931/1000 │               0.26 │                 60 │               2.58 │        000: 0.7610 │
│           932/1000 │               0.26 │                 89 │               2.65 │        000: 1.6470 │
│           933/1000 │               0.26 │                 95 │               2.65 │        000: 1.8749 │
│           934/1000 │               0.26 │                 40 │               2.58 │       000: -4.4115 │
│           935/1000 │               0.27 │                182 │               2.71 │        000: 4.4244 │
│           936/1000 │               0.24 │                 17 │               2.35 │       000: -0.5191 │
│           937/1000 │               0.24 │                 29 │               2.43 │       000: -0.1691 │
│           938/1000 │               0.25 │                 42 │               2.51 │       000: -4.4049 │
│           939/1000 │               0.24 │                 14 │               2.38 │       000: -0.7833 │
│           940/1000 │               0.27 │                 69 │               2.65 │        000: 0.2224 │
│           941/1000 │               0.27 │                207 │               2.73 │        000: 4.9010 │
│           942/1000 │               0.26 │                 94 │               2.62 │        000: 1.6790 │
│           943/1000 │               0.27 │                 78 │               2.68 │        000: 1.2694 │
│           944/1000 │               0.26 │                 41 │               2.63 │       000: -4.3719 │
│           945/1000 │               0.27 │                139 │               2.72 │        000: 2.7381 │
│           946/1000 │               0.25 │                 39 │               2.51 │       000: -0.7138 │
│           947/1000 │               0.27 │                 73 │               2.66 │        000: 0.6839 │
│           948/1000 │               0.27 │                 35 │               2.66 │       000: -2.9165 │
│           949/1000 │               0.26 │                 98 │               2.61 │        000: 1.9424 │
│           950/1000 │               0.27 │                 75 │               2.70 │        000: 1.1980 │
│           951/1000 │               0.26 │                 49 │               2.64 │       000: -6.5975 │
│           952/1000 │               0.27 │                215 │               2.70 │        000: 2.4257 │
│           953/1000 │               0.27 │                 44 │               2.71 │        000: 0.2856 │
│           954/1000 │               0.20 │                 11 │               2.00 │       000: -0.7668 │
│           955/1000 │               0.27 │                 58 │               2.66 │        000: 0.6027 │
│           956/1000 │               0.26 │                 65 │               2.62 │       000: -0.4258 │
│           957/1000 │               0.27 │                 82 │               2.67 │        000: 1.3791 │
│           958/1000 │               0.26 │                 93 │               2.65 │        000: 1.8069 │
│           959/1000 │               0.27 │                142 │               2.66 │        000: 3.2276 │
│           960/1000 │               0.27 │                 75 │               2.67 │        000: 0.3026 │
│           961/1000 │               0.26 │                 79 │               2.59 │        000: 1.3581 │
│           962/1000 │               0.27 │                100 │               2.72 │        000: 1.9754 │
│           963/1000 │               0.23 │                 26 │               2.32 │       000: -1.5387 │
│           964/1000 │               0.27 │                169 │               2.70 │        000: 3.9574 │
│           965/1000 │               0.27 │                137 │               2.69 │        000: 2.9838 │
│           966/1000 │               0.27 │                 71 │               2.68 │        000: 1.1089 │
│           967/1000 │               0.26 │                 67 │               2.57 │        000: 0.9657 │
│           968/1000 │               0.26 │                 53 │               2.60 │        000: 0.3645 │
│           969/1000 │               0.27 │                176 │               2.73 │        000: 3.2642 │
│           970/1000 │               0.26 │                 57 │               2.58 │        000: 0.6810 │
╰────────────────────┴────────────────────┴────────────────────┴────────────────────┴────────────────────╯
pybullet build time: Oct  8 2020 00:10:46
pybullet build time: Oct  8 2020 00:10:46
pybullet build time: Oct  8 2020 00:10:46
