         72185222 function calls (70457580 primitive calls) in 50.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      140    0.000    0.000    0.105    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:62(arrays_to_mgr)
   216748    0.067    0.000    0.096    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:30(not_zero)
     1680    0.009    0.000    0.089    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:376(apply)
       60    0.000    0.000    0.087    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:37(record)
     4060    0.012    0.000    0.083    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2662(get_block_type)
     3080    0.013    0.000    0.081    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/construction.py:423(sanitize_array)
      210    0.001    0.000    0.080    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexing.py:1222(_get_listlike_indexer)
     3710    0.002    0.000    0.079    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexes/base.py:5836(ensure_index)
     2660    0.005    0.000    0.078    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2711(make_block)
   250300    0.076    0.000    0.076    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:37(get_lane)
 1120/560    0.014    0.000    0.073    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexes/base.py:250(__new__)
      210    0.001    0.000    0.072    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:3591(_take_with_is_copy)
   548824    0.070    0.000    0.070    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3102(_ndim_dispatcher)
      500    0.005    0.000    0.069    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:93(<listcomp>)
      210    0.001    0.000    0.066    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:3492(take)
      560    0.001    0.000    0.065    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:548(where)
     8800    0.031    0.000    0.065    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:123(project_polygon)
      210    0.002    0.000    0.061    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1454(take)
      140    0.001    0.000    0.057    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1690(create_block_manager_from_arrays)
     1680    0.003    0.000    0.053    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1577(from_array)
   406247    0.053    0.000    0.053    0.000 {built-in method builtins.abs}
      140    0.004    0.000    0.052    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1733(_form_blocks)
      210    0.001    0.000    0.051    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1260(reindex_indexer)
      210    0.004    0.000    0.049    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1327(_slice_take_blocks_ax0)
    22750    0.011    0.000    0.049    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/base.py:254(is_dtype)
    46410    0.047    0.000    0.047    0.000 {method 'argmin' of 'numpy.ndarray' objects}
      280    0.000    0.000    0.047    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/arraylike.py:95(__sub__)
      560    0.002    0.000    0.045    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:3147(__setitem__)
       70    0.000    0.000    0.044    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:276(close_vehicles_to)
       29    0.006    0.000    0.044    0.002 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:40(compute_bellman_residual)
      500    0.001    0.000    0.044    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:45(__init__)
      280    0.000    0.000    0.044    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/arraylike.py:103(__mul__)
      280    0.000    0.000    0.043    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/arraylike.py:111(__truediv__)
      280    0.000    0.000    0.043    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/arraylike.py:91(__radd__)
     1120    0.005    0.000    0.043    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:159(arithmetic_op)
     2744    0.002    0.000    0.041    0.000 {method 'mean' of 'numpy.ndarray' objects}
       29    0.000    0.000    0.041    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:32(step_optimizer)
      560    0.002    0.000    0.041    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:3231(_set_item)
